Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Image,Sort Order
Bar ,bar,5e27678a5487645f5c215621,5e28b99294397e7d025bf9c5,Wed Jan 22 2020 21:07:30 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 21:07:30 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 21:08:12 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5e28b98c316901d5d8ddaea1_bar%20pic.jpg,4
Courtyard,courtyard,5e27678a5487645f5c215621,5e28bac79a7d36d7810e2a6a,Wed Jan 22 2020 21:12:39 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 21:12:46 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 21:12:54 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5e28babf9a7d366a210e281e_Website%20photos%20-%20walsh%20office%2013%20(3).jpg,6
courtyard 2,courtyard-2,5e27678a5487645f5c215621,5e28c01a0914b30049a60644,Wed Jan 22 2020 21:35:22 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 21:35:34 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 21:35:45 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5e28c012a464688517983f6b_Website%20photos%20-%20walsh%20office%2014%20(1).jpg,7
"Ed, John Billy",ed-john-billy,5e27678a5487645f5c215621,5e2875df12651b63f0e23664,Wed Jan 22 2020 16:18:39 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 19:05:10 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 19:06:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5e2875cb5825dc7514a091dc_Website%20photos%20-%20walsh%20office%206%20(2).jpg,3
Ex,ex,5e27678a5487645f5c215621,5e27680c997b96119bf8dc28,Tue Jan 21 2020 21:07:24 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 19:06:21 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 19:06:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5dbf1b144f3e35193c02b654_1572805396204-image13.jpg,9
Exec pic,exec-pic,5e27678a5487645f5c215621,5e2876976d4fbc80790cb431,Wed Jan 22 2020 16:21:43 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 19:29:00 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 19:29:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5e28516e4677acb4a65e3f00_Website%20photos%20-%20walsh%20exec%20pic.jpg,1
Id Ea Et,id-ea-et,5e27678a5487645f5c215621,5e27680c5487646bad2157b8,Tue Jan 21 2020 21:07:24 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 21:07:42 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 21:08:12 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5dbf1ed05ad64f713c8759b1_1572806352027-image3.jpg,10
Lights,lights,5e27678a5487645f5c215621,5e28b9b03169017bb8ddc083,Wed Jan 22 2020 21:08:00 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 21:08:06 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 21:08:12 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5e28b9a8c02903ebb6314282_Website%20photos%20-%20walsh%20office%201%20(1).jpg,5
Necessitatibus,necessitatibus,5e27678a5487645f5c215621,5e27680c8e5e9eb02d28f7fd,Tue Jan 21 2020 21:07:24 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 21:12:51 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 21:12:54 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5dbf1ed05533479ec78db794_1572806351789-image2.jpg,12
Officia Est Ratione,officia-est-ratione,5e27678a5487645f5c215621,5e27680c1ea36869b19d540a,Tue Jan 21 2020 21:07:24 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 21:35:43 GMT+0000 (Coordinated Universal Time),Wed Jan 22 2020 21:35:45 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5dbf1ecf5533479e698db793_1572806351668-image14.jpg,13
