Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Priority Order,Photo,Title,Subtitle,Biography,Attachment,Featured Projects
Alina Nikolayeva,alina-nikolayeva,5dae8c447b316e8258f6de5c,5dbb4e4be1ca8be7475a55ce,Thu Oct 31 2019 21:12:43 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2019 22:41:45 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2019 22:44:19 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5dcb35292183e13f81e40fa9_Alina%20N%20square.jpg,Accounting Manager,,,,
Bill Walsh,bill-walsh,5dae8c447b316e8258f6de5c,5dbb4e5faf167ef218143d80,Thu Oct 31 2019 21:13:03 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2019 22:41:38 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2019 22:44:19 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5dcb3520f4cfd4213aed3876_Bill%20Walsh%20square.jpg,Senior Project Manager,,,,
Robert Stephenson,bobby-stephenson,5dae8c447b316e8258f6de5c,5dbb4fb5e1ca8b9a475b43a5,Thu Oct 31 2019 21:18:45 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2019 22:40:46 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2019 22:44:19 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5dcb34edc5d5625d71e15ab9_Bobby%20Stephenson%20square.jpg,Assistant Project Manager/Technical Support,,,,
Daniela Bartelli,daniela-bartelli,5dae8c447b316e8258f6de5c,5dbb49a04617d73ce6552f83,Thu Oct 31 2019 20:52:48 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2019 22:49:06 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2019 22:49:08 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5dcb36dad05bae69f6a4bd50_Daniela%20Bartelli%20%20square2.jpg,"Vice President, Land Development & Client Relations",,"<p>Daniela Bartelli is Vice President of Land Development &amp; Client Relations for Walsh Company. &nbsp;Mrs. Bartelli is responsible for overseeing all aspects of land development including due diligence, feasibility, zoning reviews,title and survey review, site and building design, budgeting, lease compliance,entitlements, construction and construction financing. Prior to Walsh Company,Mrs. Bartelli was a Senior Project Management of Development at Avison Young’s New Jersey office.</p><p>Mrs. Bartelli has been developing commercial real estate throughout the New Jersey/NY Metro Area for over 15years and has extensive knowledge of the Municipal Land Use Law and the approval process in New Jersey. &nbsp;She has been a member of ICSC for 15 years and is also a member of NAIOP and The Pipeline Women’s Real Estate Organization. </p><p>When she is not working on real estate projects, you can find her working on her golf game and singing at any chance she gets. &nbsp; &nbsp; &nbsp;</p><p>‍</p><p>‍</p><p>‍</p><p>‍</p><p>‍</p><p>‍</p><p>‍</p>",,
Ed Casey,ed-casey,5dae8c447b316e8258f6de5c,5dbb4e9749e7a9601a2f402c,Thu Oct 31 2019 21:13:59 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2019 22:41:13 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2019 22:44:19 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5dcb3508c5d5625cbde17037_Ed%20Casey%20%20square.jpg,Vice President Construction,,,,
"Edward S. Walsh, P.E.",edward-s-walsh-p-e,5dae8c447b316e8258f6de5c,5dae8c6bbc3bf47e8b6724f8,Tue Oct 22 2019 04:58:19 GMT+0000 (Coordinated Universal Time),Tue Jan 14 2020 21:11:03 GMT+0000 (Coordinated Universal Time),Wed Jan 15 2020 13:52:39 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5dcb35b60de3be0fce5832ec_Ed%20Walsh%20%20square.jpg,President,,"<p>Edward S. Walsh is the President of The Walsh Company. Founded in 2003 by Edward S. Walsh, The Walsh Company soon developed into a successful firm of over fifty highly accomplished professionals headquartered in Morristown, New Jersey. &nbsp;Before founding The Walsh Company, Mr. Walsh worked as a Senior Vice-President at Gale &amp; Wentworth, a diversified real estate investment and services firm. &nbsp;</p><p>Mr. Walsh is actively involved in helping to raise funds for several nonprofit organizations in Morris and Somerset Counties in New Jersey.&nbsp; He has been recognized for his philanthropic efforts on behalf of The American Cancer Society, Somerset Hills Learning Institute, Interfaith Food Pantry of Morristown, Employment Horizons, JVS &amp; Family Service of MC.</p><p>‍</p><p>‍</p><p>‍</p><p>‍</p><p>‍</p><p>‍</p><p>‍</p>",,
"Hoon Lee, R.A.",hoon-lee-r-a,5dae8c447b316e8258f6de5c,5dae952e2b63963464e184cb,Tue Oct 22 2019 05:35:42 GMT+0000 (Coordinated Universal Time),Mon Dec 02 2019 17:23:51 GMT+0000 (Coordinated Universal Time),Mon Dec 02 2019 17:23:53 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5de5489c72187a975bef945d_6728.jpg,Director,Project Management,"<p>Hoon Lee is responsible for project management activities for corporate base building core &amp; shell projects as well as interior projects. Prior to Walsh Company, Mr. Lee was the Director of Project Management at Avison Young’s New Jersey office where he was responsible for managing project design, bidding, cost control, schedule &amp; construction. &nbsp; Mr. Lee served as an Executive Manager for Kumkang Housing Development Co., overseeing all development activities including feasibility study, market study, marketing, negotiations and contracts, construction cost control, lender relations, property management and &nbsp;construction management. </p><p>He has completed many corporate &amp; development projects in various roles, as an architect, design builder, construction manager &amp; owner. His understanding of architectural details and over 25 years of experience in various positions allow him to foresee potential areas of risk and resolve them by providing innovative alternate solutions.</p><p>‍</p><p>‍</p><p>‍</p><p>‍</p><p>‍</p><p>‍</p><p>‍</p>",,
Joe McMahon,joe-mcmahon,5dae8c447b316e8258f6de5c,5dbb53e2b2e6abbc2fa55df3,Thu Oct 31 2019 21:36:34 GMT+0000 (Coordinated Universal Time),Thu Jan 23 2020 16:18:58 GMT+0000 (Coordinated Universal Time),Thu Jan 23 2020 16:21:27 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5dcb34e30de3bedc3357ea9d_Joe%20McMahon%20square.jpg,Business Development,,,,
John Mercurio,john-mercurio,5dae8c447b316e8258f6de5c,5dae9222bc3bf472486738d0,Tue Oct 22 2019 05:22:42 GMT+0000 (Coordinated Universal Time),Thu Jan 23 2020 16:17:08 GMT+0000 (Coordinated Universal Time),Thu Jan 23 2020 16:17:15 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5dcb3290679568393f3c5156_John%20Mercurio-square.jpg,"Principal, Executive Vice President Construction",Construction Management,"<p>John Mercurio is a President of Construction. &nbsp; Prior to joining Walsh Company, Mr. Mercurio served as Vice President of Construction and Project Management for Avison Young’s New Jersey office where he was responsible for overseeing construction and project management related services including core and shell building renovations, capital improvements, office interiors, and site work improvements. &nbsp;</p><p>Mr. Mercurio has over thirty years of experience in the construction industry. His proven management skills and general knowledge of construction methods and procedures have enabled him to successfully execute projects of increasing responsibility and complexity. &nbsp; Prior to joining The Walsh Company, John served as Senior Project Manager for The Gale Construction Company for three years and as Project Manager for four years. &nbsp;John is an honorably discharged US Army Veteran and served from 1979 to 1985.</p><p>‍</p><p>‍</p><p>‍</p><p>‍</p><p>‍</p><p>‍</p><p>‍</p>",,
John Jung,john-ung,5dae8c447b316e8258f6de5c,5dbb4e745f318d6a4c0f93a8,Thu Oct 31 2019 21:13:24 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2019 22:41:21 GMT+0000 (Coordinated Universal Time),Tue Nov 12 2019 22:44:19 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5dae7f047b316e33f9f69cdb/5dcb35105a5789c97b707bd6_John%20Jung%20%20square.jpg,Project Manager/Technical Advisor ,,,,
